@area,可住地面積１k�F当たり人口密度,昼夜間人口比率,外国人人口（人口１０万人当たり）,１５歳未満人口割合,１５〜６４歳人口割合,６５歳以上人口割合,未婚者割合（15歳以上人口）,人口増減率,転入超過率,転入率,転出率,核家族世帯割合,高齢夫婦のみの世帯の割合,高齢単身世帯の割合,総面積（都道府県面積に占める割合）,可住地面積割合,商業年間商品販売額［卸売業＋小売業］（従業者１人当たり）,商業年間商品販売額［卸売業＋小売業］（事業所当たり）,課税対象所得（納税義務者１人当たり）,標準財政規模（市町村財政）,小学校数（可住地面積100k�F当たり）,中学校数（可住地面積100k�F当たり）,高等学校数（可住地面積100k�F当たり）,就業者比率,第１次産業就業者比率（対就業者）,第２次産業就業者比率（対就業者）,第３次産業就業者比率（対就業者）,第２次産業及び第３次産業就業者比率（対就業者）,完全失業率,他市区町村への通勤者比率,他市区町村からの通勤者比率,高齢就業者割合［６５歳以上］,公民館数（人口100万人当たり）,図書館数（人口100万人当たり）,持ち家比率,空き家比率（対総住宅数）,１住宅当たりの延べ面積,小売店数（事業所・企業統計調査結果）（人口千人当たり）,飲食店数（事業所・企業統計調査結果）（人口千人当たり）,大型小売店数（事業所・企業統計調査結果）（人口10万人当たり）,百貨店数（事業所・企業統計調査結果）（人口10万人当たり）,一般病院数（人口10万人当たり）,一般診療所数（人口10万人当たり）,一般病院数（可住地面積100k�F当たり）,一般診療所数（可住地面積100k�F当たり）,介護老人福祉施設（65歳以上人口10万人当たり）
1100,4433.5,100.4,451.8,11.32,63.283,24.767,29.83508,2.03,0.42,6.19,5.78,53.63,10.72,11.37,1.43,39.23333333,6468,702.8,3093.25,491063443,46.65,24.46166667,11.98666667,94.555,0.45,14.04,76.5,90.53,5.4,47.8,48.4,17.01,0.5,5.85,48.6,11.93,80.3,5.815,4.51,18.745,1.59,9.2,67.5,40.54,303.18,12.2
1101,8856.8,162.7,795.8,10.099,67.475,21.267,36.29654,7.92,1.39,9.02,7.63,39.98,7.24,10.93,0.06,57.8,11449,1206.9,,,62.70833333,39.73666667,29.80666667,94.647,0.26,8.34,78.45,86.79,5.4,25.3,165.6,18.96,0,6.3,39.4,18.35,66.96,13.67,17.74,31.145,3.79,13.9,143.9,127.42,1314.34,7.9
1102,4515.3,95.9,709,11.536,62.719,24.169,30.80597,2.35,0.46,5.65,5.19,52.53,10.65,11,0.08,99.4,4645,499.9,,,49.58666667,25.84666667,14.505,94.885,0.54,15.91,74.77,90.68,5.1,48.3,35.1,17.9,0,3.5,51.3,10.42,82.41,4.925,3.31,16.995,0.7,6.7,61.3,30.1,278.52,11.6
1103,4598.2,94.6,428,11.728,64.259,23.461,30.39551,2.36,0.57,6.1,5.53,52.8,9.78,11.31,0.07,100,4641.5,533.9,,,48.86666667,26.33,11.41,94.535,0.47,15.9,74.51,90.4,5.5,45.1,34.2,17.35,0,3.8,41.3,11.02,77.22,5.13,2.31,19.09,1.72,8.8,52.7,38.62,241.6,11.4
1104,6090.8,98.6,283.9,11.256,65.31,22.845,31.27262,2.61,0.21,6.67,6.45,49.24,8.61,11.4,0.04,99.8,6372.6,669.3,,,58.12,23.25,8.72,94.256,0.33,15.99,72.35,88.35,5.7,47,46.8,18.04,0,4.8,36,11.82,70.69,5.095,2.8,13.595,0.48,8.6,50.1,52.3,320.24,10.4
1105,7851.1,88.8,512.2,10.915,65.287,23.534,32.14211,3.08,0.39,7.37,6.98,49.2,9.24,11.29,0.06,57.93333333,3927.2,416.6,,,82.22333333,41.11333333,22.42666667,94.511,0.34,11.03,77.68,88.71,5.5,55.3,26.5,17.16,4.6,4.6,40.5,14.18,70.89,4.2,2.52,16.005,1.14,6.4,60.8,51.32,496.76,13.6
1106,1244.2,87.9,309.5,10.108,57.793,31.769,25.94519,-3.52,-0.13,5.38,5.51,61.6,15.73,14.26,0.84,17.3,1960.1,196.8,,,18.62333333,9.236666667,5.276666667,94.871,0.82,11.36,80.65,92.01,5.1,47.3,19.4,17.17,0,7.1,65.6,13.35,99.49,4.14,2.64,17.355,0.71,9.9,56,11.76,68.8,8.9
1107,7397.9,89.5,265,11.631,62.465,25.689,28.46785,1.11,0.24,5.58,5.34,57.83,11.59,11.82,0.1,38.2,5187.1,584.7,,,69.64666667,34.82666667,10.44333333,94.224,0.36,14.6,77.69,92.29,5.8,51.9,31.7,15.98,0,9.4,56.4,10.39,85.62,4.915,3.255,15.215,1.87,9.8,59.9,73.06,440.62,10.9
1108,5523.9,91.9,319.3,10.95,60.961,27.952,25.80754,-0.56,0.07,5.15,5.08,64.66,14.42,12.26,0.03,94.9,3639.6,416.3,,,64.11,38.89666667,17.29,94.031,0.48,13.75,79.95,93.7,6,58.1,40,14.67,0,7.8,52.6,6.94,85.76,4.69,2.17,16.045,1.175,12.5,65.7,69.14,361.32,14
1109,3957.3,85.1,183.7,12.317,60.027,27.348,24.73814,0.97,0.22,4.47,4.25,66.33,14.32,10.25,0.07,62.86666667,2589.2,288.9,,,44.85666667,25.23333333,8.413333333,94.262,0.43,18.97,75.87,94.84,5.7,56.9,21.9,14.41,0,7.1,66.9,7.88,95.41,4.115,2.225,19.86,2.13,8.5,55.3,33.64,218.14,15.6
